,name,state,level4,level3,level2,level1,Molecular Weight,logP,Water Solubility,logS,Bioavailability,pKa (strongest acidic),Refractivity,Number of Rings,H Bond Donor Count,Rotatable Bond Count,Polar Surface Area (PSA),pKa (strongest basic),Ghose Filter,Monoisotopic Weight,MDDR-Like Rule,Polarizability,H Bond Acceptor Count,Physiological Charge,Rule of Five
962,Ramelteon,solid,N05CH,N05C,N05,N,259.3434,2.57,0.0164,-4.2,1.0,15.82,75.52,3.0,1.0,4.0,38.33,-1.4,1.0,259.157228921,0.0,29.99,2.0,0.0,1.0
963,Physostigmine,solid,S01EB,S01E,S01,S,275.3461,2.23,0.992,-2.4,1.0,14.77,78.4,3.0,1.0,2.0,44.81,6.59,1.0,275.163376931,0.0,30.63,3.0,0.0,1.0
964,Isotretinoin,solid,D10AD,D10A,D10,D,300.4351,5.01,0.00477,-4.8,1.0,4.76,97.79,1.0,1.0,5.0,37.3,,1.0,300.20893014,0.0,36.15,2.0,-1.0,0.0
965,Formoterol,solid,R03AL,R03A,R03,R,344.4049,1.06,0.0416,-3.9,1.0,8.61,97.87,2.0,4.0,8.0,90.82,9.81,1.0,344.173607266,0.0,36.56,5.0,1.0,1.0
967,Dimenhydrinate,solid,R06AA,R06A,R06,R,469.97,3.65,9.86,-1.3,1.0,,79.93,4.0,0.0,6.0,12.47,8.87,1.0,469.1880675,1.0,30.02,2.0,1.0,1.0
968,Glycopyrronium,solid,R03AL,R03A,R03,R,318.4305,-1.4,0.000944,-5.6,1.0,11.53,101.08,3.0,1.0,5.0,46.53,-4.3,0.0,318.206918767,0.0,35.88,2.0,1.0,1.0
969,Cytarabine,solid,L01BC,L01B,L01,L,243.2166,-2.8,43.8,-0.74,1.0,12.55,54.54,2.0,4.0,2.0,128.61,4.19,0.0,243.085520541,0.0,22.53,7.0,0.0,1.0
970,Dopamine,solid,C01CA,C01C,C01,C,153.1784,0.03,7.43,-1.3,1.0,10.01,43.25,1.0,3.0,2.0,66.48,9.27,0.0,153.078978601,0.0,16.21,3.0,1.0,1.0
971,Rivastigmine,solid,N06DA,N06D,N06,N,250.3367,2.41,2.04,-2.1,1.0,,73.37,1.0,0.0,5.0,32.78,8.8,1.0,250.168127958,0.0,28.56,2.0,1.0,1.0
972,Exemestane,solid,L02BG,L02B,L02,L,296.4034,3.87,0.00683,-4.6,1.0,,89.03,4.0,0.0,0.0,34.14,-5.0,1.0,296.177630012,0.0,33.72,2.0,0.0,1.0
973,Oxaprozin,solid,M01AE,M01A,M01,M,293.3166,3.46,0.0325,-4.0,1.0,4.95,81.88,3.0,1.0,5.0,63.33,-0.59,1.0,293.105193351,0.0,31.69,3.0,-1.0,1.0
974,Methyl aminolevulinate,solid,L01XD,L01X,L01,L,145.1564,-0.85,220.0,0.18,1.0,17.16,35.22,0.0,1.0,5.0,69.39,7.83,0.0,145.073893223,0.0,14.55,3.0,1.0,1.0
975,Azathioprine,solid,L04AX,L04A,L04,L,277.263,1.17,1.07,-2.4,1.0,8.62,69.94,3.0,1.0,3.0,115.42,2.16,1.0,277.038193193,0.0,24.37,6.0,0.0,1.0
977,Auranofin,solid,M01CB,M01C,M01,M,678.484,-1.0,0.151,-3.6,0.0,,114.88,1.0,0.0,15.0,114.43,-4.3,0.0,678.132666497,0.0,50.82,5.0,0.0,0.0
978,Gabapentin,solid,N03AX,N03A,N03,N,171.2368,-1.3,4.34,-1.6,1.0,4.63,46.33,1.0,2.0,3.0,63.32,9.91,0.0,171.125928793,0.0,18.92,3.0,0.0,1.0
979,Doxorubicin,solid,L01DB,L01D,L01,L,543.5193,0.54,1.18,-2.7,0.0,8.01,134.59,5.0,6.0,5.0,206.07,10.03,0.0,543.174060775,0.0,54.62,12.0,1.0,0.0
980,Frovatriptan,solid,N02CC,N02C,N02,N,243.3043,1.08,0.123,-3.3,1.0,14.54,71.84,3.0,3.0,2.0,70.91,10.42,1.0,243.137162181,0.0,27.63,2.0,1.0,1.0
981,Hydrochlorothiazide,solid,C09BX,C09B,C09,C,297.739,-0.58,2.24,-2.1,1.0,9.09,63.11,2.0,3.0,1.0,118.36,-2.7,0.0,296.964474846,0.0,25.35,5.0,0.0,1.0
982,Cyclacillin,solid,J01CR,J01C,J01,J,341.426,-1.9,1.9,-2.3,1.0,3.3,84.22,3.0,3.0,3.0,112.73,8.45,0.0,341.140926929,0.0,34.89,5.0,0.0,1.0
983,Salbutamol,solid,R03AK,R03A,R03,R,239.3107,0.34,2.15,-2.0,1.0,10.12,67.87,1.0,4.0,5.0,72.72,9.4,1.0,239.152143543,0.0,26.86,4.0,1.0,1.0
984,Levobupivacaine,solid,N01BB,N01B,N01,N,288.4277,4.52,0.0977,-3.5,1.0,13.62,90.19,2.0,1.0,5.0,32.34,8.0,1.0,288.220163528,0.0,34.43,2.0,1.0,1.0
985,Cromoglicic acid,solid,R03AK,R03A,R03,R,468.3665,1.48,0.0358,-4.1,1.0,1.61,114.11,4.0,3.0,8.0,165.89,-3.4,1.0,468.069261354,1.0,44.38,11.0,-2.0,0.0
986,Ganciclovir,solid,J05AB,J05A,J05,J,255.2306,-2.2,11.5,-1.4,1.0,10.16,61.03,2.0,4.0,5.0,134.99,0.58,0.0,255.096753929,0.0,24.15,7.0,0.0,1.0
987,Hydroxyurea,solid,L01XX,L01X,L01,L,76.0547,-1.4,269.0,0.55,1.0,10.14,14.91,0.0,3.0,0.0,75.35,-4.9,0.0,76.027277382,0.0,5.94,2.0,0.0,1.0
988,Letrozole,solid,L02BG,L02B,L02,L,285.3027,2.94,0.0799,-3.6,1.0,,94.47,3.0,0.0,3.0,78.29,1.89,1.0,285.101445377,0.0,29.59,4.0,0.0,1.0
989,Tioconazole,solid,G01AF,G01A,G01,G,387.711,5.3,0.0165,-4.4,1.0,,94.53,3.0,0.0,6.0,27.05,6.48,1.0,385.981416859,1.0,36.84,2.0,0.0,0.0
990,Busulfan,solid,L01AB,L01A,L01,L,246.302,-0.76,5.16,-1.7,1.0,,49.57,0.0,0.0,7.0,86.74,,0.0,246.02317956,0.0,23.64,4.0,0.0,1.0
991,Ketoprofen,solid,M01AE,M01A,M01,M,254.2806,3.61,0.0213,-4.1,1.0,3.88,72.52,2.0,1.0,4.0,54.37,-7.5,1.0,254.094294314,0.0,26.56,3.0,-1.0,1.0
992,Edrophonium,liquid,V04CX,V04C,V04,V,166.2401,-1.9,0.0486,-3.6,1.0,8.59,62.41,1.0,1.0,2.0,20.23,-6.1,0.0,166.123189139,0.0,19.15,1.0,1.0,1.0
993,Metyrapone,solid,V04CD,V04C,V04,V,226.2738,2.03,0.427,-2.7,1.0,,65.94,2.0,0.0,3.0,42.85,4.87,1.0,226.11061308,0.0,23.98,3.0,0.0,1.0
994,Cinacalcet,solid,H05BX,H05B,H05,H,357.412,6.27,5.59e-05,-6.8,1.0,,100.12,3.0,1.0,7.0,12.03,10.01,0.0,357.170434324,1.0,37.9,1.0,1.0,0.0
996,Balsalazide,solid,A07EC,A07E,A07,A,357.3175,3.17,0.0621,-3.8,1.0,3.06,94.37,2.0,4.0,7.0,148.65,-0.033,1.0,357.096085227,0.0,35.98,8.0,-2.0,1.0
997,Sulfamethoxazole,solid,J04AM,J04A,J04,J,253.278,0.79,0.459,-2.7,1.0,6.16,64.5,2.0,2.0,2.0,98.22,1.97,1.0,253.052111923,0.0,24.99,4.0,-1.0,1.0
998,Glyburide,solid,A10BB,A10B,A10,A,494.004,3.79,0.00206,-5.4,1.0,4.32,126.98,3.0,3.0,7.0,113.6,-1.4,0.0,493.143819418,1.0,51.74,5.0,-1.0,1.0
999,Minocycline,solid,D10AF,D10A,D10,D,457.4764,-2.6,3.07,-2.2,1.0,3.24,122.54,4.0,5.0,3.0,164.63,8.83,0.0,457.184900233,0.0,45.84,9.0,0.0,1.0
1000,Guanfacine,solid,C02AC,C02A,C02,C,246.093,1.74,0.139,-3.2,1.0,11.64,69.63,1.0,3.0,2.0,78.97,8.65,1.0,245.012267339,0.0,22.44,3.0,1.0,1.0
1001,Bethanechol,solid,N07AB,N07A,N07,N,161.2221,-4.1,0.311,-2.8,1.0,15.34,54.44,0.0,1.0,4.0,52.32,,0.0,161.129002798,0.0,17.73,1.0,1.0,1.0
1002,Isosorbide mononitrate,solid,C01DA,C01D,C01,C,191.1388,-0.71,57.0,-0.53,1.0,13.34,37.07,2.0,1.0,2.0,91.06,-3.5,0.0,191.042987025,0.0,15.89,6.0,0.0,1.0
1003,Trichlormethiazide,solid,G01AE,G01A,G01,G,380.656,0.97,0.415,-3.0,1.0,8.32,77.44,2.0,3.0,2.0,118.36,-4.1,1.0,378.90218026,0.0,31.97,5.0,0.0,1.0
1004,Phylloquinone,liquid,B02BA,B02B,B02,B,450.6957,9.7,5.92e-05,-6.9,0.0,,142.96,2.0,0.0,14.0,34.14,-7.2,0.0,450.349780716,0.0,55.92,2.0,0.0,0.0
1005,Felodipine,solid,C07FB,C07F,C07,C,384.254,3.44,0.00715,-4.7,1.0,19.46,99.2,2.0,1.0,6.0,64.63,-6.6,1.0,383.069113515,0.0,37.96,3.0,0.0,1.0
1006,Mycophenolic acid,solid,L04AA,L04A,L04,L,320.3371,3.53,0.0355,-4.0,1.0,3.57,85.23,2.0,2.0,6.0,93.06,-4.1,1.0,320.125988372,0.0,32.95,5.0,-1.0,1.0
1007,Amlexanox,solid,A01AD,A01A,A01,A,298.2934,3.65,0.146,-3.3,1.0,4.31,81.43,3.0,2.0,2.0,102.51,1.87,1.0,298.095356946,0.0,30.82,5.0,-1.0,1.0
1008,Ketoconazole,solid,G01AF,G01A,G01,G,531.431,4.19,0.00931,-4.8,1.0,,138.07,5.0,0.0,7.0,69.06,6.42,0.0,530.148760818,1.0,54.61,6.0,0.0,0.0
1009,Methoxyflurane,liquid,N02BG,N02B,N02,N,164.966,2.31,6.46,-1.4,1.0,,27.98,0.0,0.0,2.0,9.23,-4.5,0.0,163.960726574,0.0,11.46,1.0,0.0,1.0
1010,Irbesartan,solid,C09CA,C09C,C09,C,428.5294,5.39,0.00884,-4.7,1.0,5.85,136.72,5.0,1.0,7.0,87.13,4.12,0.0,428.232459548,1.0,47.61,5.0,-1.0,0.0
1011,Topotecan,solid,L01CE,L01C,L01,L,421.4458,-0.33,0.861,-2.7,1.0,8.0,115.02,5.0,2.0,3.0,103.2,9.75,1.0,421.163770861,0.0,44.86,6.0,1.0,1.0
1013,Probenecid,solid,M04AB,M04A,M04,M,285.359,2.44,0.425,-2.8,1.0,3.53,73.81,1.0,1.0,6.0,74.68,,1.0,285.103478791,0.0,29.96,4.0,-1.0,1.0
1014,Mercaptopurine,solid,L01BB,L01B,L01,L,152.177,-0.12,0.735,-2.3,1.0,11.09,43.6,2.0,2.0,0.0,53.07,2.99,0.0,152.015666838,0.0,14.04,3.0,0.0,1.0
1016,Procainamide,solid,C01BA,C01B,C01,C,235.3253,0.95,3.02,-1.9,1.0,15.75,72.25,1.0,2.0,6.0,58.36,9.04,1.0,235.168462309,0.0,27.69,3.0,1.0,1.0
1017,Tolterodine,solid,G04BD,G04B,G04,G,325.4876,5.12,0.00534,-4.8,1.0,10.28,103.96,2.0,1.0,7.0,23.47,11.01,1.0,325.240564619,0.0,39.29,2.0,1.0,0.0
1018,Selegiline,solid,N04BD,N04B,N04,N,187.286,2.85,0.0254,-3.9,1.0,,61.35,1.0,0.0,4.0,3.24,8.67,1.0,187.136099551,0.0,22.69,1.0,1.0,1.0
1020,Fenofibrate,solid,C10BA,C10B,C10,C,360.831,5.28,0.000707,-5.7,1.0,,97.13,2.0,0.0,7.0,52.6,-4.9,1.0,360.112836867,0.0,38.15,3.0,0.0,0.0
1021,Thalidomide,solid,L04AX,L04A,L04,L,258.2295,0.016,2.55,-2.0,1.0,11.59,64.32,3.0,1.0,1.0,83.55,-6.4,1.0,258.064056818,0.0,24.42,4.0,0.0,1.0
1022,Melphalan,solid,L01AA,L01A,L01,L,305.2,0.25,0.1,,1.0,1.29,78.23,1.0,2.0,8.0,66.56,9.51,1.0,304.074533244,0.0,31.38,4.0,0.0,1.0
1023,Memantine,solid,N06DA,N06D,N06,N,179.3018,2.07,0.0455,-3.6,1.0,,54.49,3.0,1.0,0.0,26.02,10.7,1.0,179.167399677,0.0,21.82,1.0,1.0,1.0
1024,Gatifloxacin,solid,S01AE,S01A,S01,S,375.3941,-0.62,0.631,-2.8,1.0,5.49,98.82,4.0,2.0,4.0,82.11,8.82,0.0,375.159434412,0.0,38.29,7.0,0.0,1.0
1025,Rifampicin,solid,J04AM,J04A,J04,J,822.9402,2.95,0.0413,-4.3,0.0,6.8,225.58,5.0,6.0,5.0,220.15,7.37,0.0,822.40512334,0.0,86.84,14.0,0.0,0.0
1026,Lubiprostone,solid,A06AX,A06A,A06,A,390.468,4.56,0.0256,-4.2,1.0,4.3,95.6,2.0,2.0,11.0,83.83,-4.4,1.0,390.221780456,0.0,42.35,5.0,-1.0,1.0
1027,Fluocinonide,solid,C05AA,C05A,C05,C,494.5249,2.05,0.0168,-4.5,1.0,13.6,120.56,5.0,1.0,4.0,99.13,-3.4,0.0,494.211609788,0.0,48.97,6.0,0.0,1.0
1028,Abacavir,solid,J05AR,J05A,J05,J,286.3323,0.39,1.21,-2.4,1.0,15.41,82.62,4.0,3.0,4.0,101.88,5.8,1.0,286.154209228,0.0,30.43,6.0,0.0,1.0
1030,Ibuprofen,solid,G02CC,G02C,G02,G,206.2808,3.84,0.0684,-3.5,1.0,4.85,60.73,1.0,1.0,4.0,37.3,,1.0,206.13067982,0.0,23.76,2.0,-1.0,1.0
1032,Benzylpenicillin,solid,J01CR,J01C,J01,J,334.39,1.08,0.285,-3.1,1.0,3.53,84.53,3.0,2.0,4.0,86.71,-2.8,1.0,334.098727764,0.0,33.53,4.0,-1.0,1.0
1033,Nitrendipine,solid,C08CA,C08C,C08,C,360.3612,2.17,0.0142,-4.4,1.0,16.97,95.91,2.0,1.0,7.0,107.77,-6.6,1.0,360.132136382,0.0,36.19,5.0,0.0,1.0
1035,Tocainide,solid,C01BB,C01B,C01,C,192.2575,1.88,1.6,-2.1,1.0,13.65,58.86,1.0,2.0,2.0,55.12,8.23,1.0,192.126263144,0.0,21.59,2.0,1.0,1.0
1036,Echothiophate,solid,S01EB,S01E,S01,S,256.323,-3.1,0.297,-3.0,1.0,,78.14,0.0,0.0,8.0,35.53,-8.2,0.0,256.113625809,0.0,27.65,1.0,1.0,1.0
1037,Praziquantel,solid,P02BA,P02B,P02,P,312.4061,2.3,0.381,-2.9,1.0,19.38,88.79,4.0,0.0,1.0,40.62,-0.6,1.0,312.183778022,0.0,34.84,2.0,0.0,1.0
1038,Norfloxacin,solid,J01RA,J01R,J01,J,319.3308,-0.97,1.01,-2.5,1.0,5.58,85.48,3.0,2.0,3.0,72.88,8.77,0.0,319.133219662,0.0,32.26,6.0,0.0,1.0
1039,Amoxicillin,solid,A02BD,A02B,A02,A,365.404,-2.3,0.958,-2.6,1.0,3.23,89.5,3.0,4.0,4.0,132.96,7.22,0.0,365.104541423,0.0,35.52,6.0,0.0,1.0
1040,Azlocillin,solid,J01CR,J01C,J01,J,461.492,-0.33,0.233,-3.3,1.0,3.49,111.71,4.0,4.0,5.0,148.15,-5.9,1.0,461.136904183,0.0,44.97,6.0,-1.0,1.0
1041,Oxybutynin,solid,G04BD,G04B,G04,G,357.4864,4.44,0.01,-4.6,1.0,11.53,105.26,2.0,1.0,10.0,49.77,8.77,1.0,357.230393863,0.0,41.37,3.0,1.0,1.0
1042,Acetophenazine,solid,N05AB,N05A,N05,N,411.56,2.65,0.0601,-3.8,1.0,15.46,121.7,4.0,1.0,7.0,47.02,7.78,1.0,411.198047877,1.0,46.68,5.0,1.0,1.0
1043,Isoprenaline,solid,C01CA,C01C,C01,C,211.2576,0.24,5.86,-1.6,1.0,9.81,58.4,1.0,4.0,4.0,72.72,8.96,1.0,211.120843415,0.0,23.04,4.0,1.0,1.0
1044,Melatonin,solid,N05CH,N05C,N05,N,232.2783,1.15,0.143,-3.2,1.0,15.8,66.28,2.0,2.0,4.0,54.12,-1.6,1.0,232.121177766,0.0,25.65,2.0,0.0,1.0
1045,Cefditoren,solid,J01DD,J01D,J01,J,506.578,-0.16,0.0441,-4.1,1.0,2.27,124.18,4.0,3.0,7.0,160.1,3.69,0.0,506.050079786,1.0,48.76,9.0,-1.0,0.0
1046,Glipizide,solid,A10BB,A10B,A10,A,445.535,1.43,0.0164,-4.4,1.0,4.32,115.62,3.0,3.0,6.0,130.15,0.061,1.0,445.178375067,1.0,47.62,6.0,-1.0,1.0
1047,Clonazepam,solid,N03AE,N03A,N03,N,315.711,3.15,0.0106,-4.5,1.0,11.65,83.02,3.0,1.0,2.0,84.6,1.89,1.0,315.041068908,0.0,29.66,4.0,0.0,1.0
1048,Promethazine,solid,R06AD,R06A,R06,R,284.419,4.29,0.0245,-4.1,1.0,,88.5,3.0,0.0,3.0,6.48,9.05,1.0,284.13471934,0.0,32.38,2.0,1.0,1.0
1049,Dihydrotachysterol,solid,A11CC,A11C,A11,A,398.6642,7.4,0.000125,-6.5,1.0,18.3,129.11,3.0,1.0,5.0,20.23,-1.4,0.0,398.354866094,0.0,51.77,1.0,0.0,0.0
1050,Mequitazine,solid,R06AD,R06A,R06,R,322.467,4.19,0.00401,-4.9,1.0,,99.05,5.0,0.0,2.0,6.48,8.61,1.0,322.150369404,0.0,35.85,2.0,1.0,1.0
1051,Atazanavir,solid,J05AE,J05A,J05,J,704.8555,4.54,0.00327,-5.3,0.0,11.92,191.8,3.0,5.0,18.0,171.22,4.42,0.0,704.389748048,1.0,76.73,7.0,0.0,0.0
1052,Fludarabine,solid,L01BB,L01B,L01,L,285.235,-1.5,12.1,-1.4,1.0,12.45,64.06,3.0,4.0,2.0,139.54,0.76,0.0,285.087332049,0.0,25.33,8.0,0.0,1.0
1053,Perhexiline,solid,C08EX,C08E,C08,C,277.4879,5.53,2.72e-05,-7.0,1.0,,87.23,3.0,1.0,4.0,12.03,10.58,1.0,277.276950125,0.0,36.21,1.0,1.0,0.0
1054,Diphenhydramine,solid,D04AA,D04A,D04,D,255.3547,3.65,0.0752,-3.5,1.0,,79.93,2.0,0.0,6.0,12.47,8.87,1.0,255.162314299,0.0,29.86,2.0,1.0,1.0
1055,Atorvastatin,solid,C10BA,C10B,C10,C,558.6398,5.39,0.00063,-6.0,0.0,4.31,158.2,4.0,4.0,12.0,111.79,-2.7,0.0,558.253000445,1.0,59.45,5.0,-1.0,0.0
1056,Etidronic acid,solid,M05BB,M05B,M05,M,206.0282,-2.3,11.5,-1.2,1.0,0.7,34.51,0.0,5.0,2.0,135.29,-5.1,0.0,205.974525634,0.0,13.97,7.0,-3.0,1.0
1057,Deslanoside,solid,C01AA,C01A,C01,C,943.0791,0.6,0.468,-3.3,0.0,7.15,225.65,9.0,9.0,10.0,282.21,-3.2,0.0,942.482430186,1.0,100.6,18.0,-1.0,0.0
1058,Tegaserod,solid,A06AX,A06A,A06,A,301.394,2.95,0.0288,-4.0,1.0,15.24,110.25,2.0,4.0,7.0,85.29,8.5,1.0,301.190260381,0.0,34.96,5.0,1.0,1.0
1059,Vigabatrin,solid,N03AG,N03A,N03,N,129.157,-2.1,96.6,-0.13,1.0,4.61,34.29,0.0,2.0,4.0,63.32,9.91,0.0,129.078978601,0.0,13.64,3.0,0.0,1.0
1060,Diphenoxylate,solid,A07DA,A07D,A07,A,452.5873,5.88,0.00146,-5.5,1.0,,146.76,4.0,0.0,9.0,53.33,8.5,0.0,452.246378278,1.0,51.58,3.0,1.0,0.0
1061,Streptomycin,solid,J04AM,J04A,J04,J,581.5741,-7.6,12.8,-1.7,0.0,11.09,149.47,3.0,14.0,9.0,331.43,11.6,0.0,581.265669747,1.0,55.87,19.0,3.0,0.0
1062,Orlistat,solid,A08AB,A08A,A08,A,495.7348,8.11,9.19e-05,-6.7,0.0,12.74,139.94,1.0,1.0,23.0,81.7,-1.4,0.0,495.392373811,0.0,60.88,3.0,0.0,0.0
1063,Emedastine,solid,S01GX,S01G,S01,S,302.4145,2.49,1.44,-2.3,1.0,,90.47,3.0,0.0,5.0,33.53,8.66,1.0,302.210661474,0.0,35.49,4.0,1.0,1.0
1064,Pilocarpine,solid,N07AX,N07A,N07,N,208.2569,0.95,2.07,-2.0,1.0,,56.53,2.0,0.0,3.0,44.12,6.37,1.0,208.121177766,0.0,22.34,2.0,0.0,1.0
1065,Benzocaine,solid,C05AD,C05A,C05,C,165.1891,1.5,2.85,-1.8,1.0,,47.53,1.0,1.0,3.0,52.32,2.78,1.0,165.078978601,0.0,17.46,2.0,0.0,1.0
1066,Primaquine,solid,P01BA,P01B,P01,P,259.3467,1.64,0.0564,-3.7,1.0,17.11,78.51,2.0,2.0,6.0,60.17,10.2,1.0,259.168462309,0.0,29.92,4.0,1.0,1.0
1067,Iloprost,solid,B01AC,B01A,B01,B,360.494,3.56,0.00874,-4.6,1.0,4.66,105.18,2.0,3.0,9.0,77.76,-0.87,1.0,360.23005951,0.0,42.68,4.0,-1.0,1.0
1068,Deserpidine,solid,C02LA,C02L,C02,C,578.6527,3.69,0.0111,-4.7,1.0,16.37,154.96,6.0,1.0,9.0,108.55,7.4,0.0,578.262816202,1.0,62.6,7.0,1.0,0.0
1070,Butenafine,solid,D01AE,D01A,D01,D,317.4672,6.17,7.56e-05,-6.6,1.0,,104.33,3.0,0.0,5.0,3.24,9.06,0.0,317.214349869,0.0,38.41,1.0,1.0,0.0
1071,Ouabain,solid,C01AC,C01A,C01,C,584.6525,-2.8,4.61,-2.1,0.0,7.18,140.83,6.0,8.0,4.0,206.6,-2.9,0.0,584.283276872,0.0,59.92,11.0,-1.0,0.0
1072,Dimethyl sulfoxide,liquid,M02AX,M02A,M02,M,78.133,-1.4,65.7,-0.08,1.0,,20.73,0.0,0.0,0.0,17.07,-8.0,0.0,78.013935504,0.0,7.91,1.0,0.0,1.0
1074,Fluvastatin,solid,C10AA,C10A,C10,C,411.473,3.83,0.00441,-5.0,1.0,4.54,114.86,3.0,3.0,8.0,82.69,-2.8,1.0,411.184586484,1.0,43.59,4.0,-1.0,1.0
1075,Oxamniquine,solid,P02BA,P02B,P02,P,279.3348,1.57,0.124,-3.4,1.0,14.47,78.86,2.0,3.0,5.0,87.43,9.89,1.0,279.158291553,0.0,30.27,5.0,1.0,1.0
1076,Leflunomide,solid,L04AA,L04A,L04,L,270.2073,2.51,0.0844,-3.5,1.0,13.72,64.16,2.0,1.0,3.0,55.13,-0.45,1.0,270.061612157,0.0,23.11,2.0,0.0,1.0
1077,Rosuvastatin,solid,C10BX,C10B,C10,C,481.538,1.92,0.0886,-3.7,1.0,4.0,121.44,2.0,3.0,9.0,140.92,-1.6,0.0,481.168284538,0.0,48.55,8.0,-1.0,1.0
1078,Flucytosine,solid,J02AX,J02A,J02,J,129.0925,-1.0,2.14,-1.8,1.0,8.31,28.15,1.0,2.0,0.0,67.48,1.78,0.0,129.03383997,0.0,10.04,3.0,0.0,1.0
1079,Pimozide,solid,N05AG,N05A,N05,N,461.5462,5.83,0.00173,-5.4,1.0,12.9,132.21,5.0,1.0,7.0,35.58,8.38,0.0,461.227868975,1.0,50.04,2.0,1.0,0.0
1080,Capecitabine,solid,L01BC,L01B,L01,L,359.3501,0.77,0.248,-3.2,1.0,8.63,82.75,2.0,3.0,7.0,120.69,0.073,1.0,359.149263656,0.0,35.94,6.0,0.0,1.0
1081,Arbutamine,solid,C01CA,C01C,C01,C,317.3795,2.0,0.0842,-3.6,1.0,8.97,89.78,2.0,5.0,8.0,92.95,9.76,1.0,317.162708229,0.0,35.54,5.0,1.0,1.0
1082,Quinacrine,solid,P01AX,P01A,P01,P,399.957,5.15,0.00239,-5.2,1.0,,118.96,3.0,1.0,9.0,37.39,10.33,1.0,399.207740304,1.0,46.32,4.0,2.0,0.0
1083,Sertraline,solid,N06AB,N06A,N06,N,306.23,5.15,0.000145,-6.3,1.0,,85.74,3.0,1.0,2.0,12.03,9.56,1.0,305.073804963,0.0,32.44,1.0,1.0,0.0
1084,Sibutramine,solid,A08AA,A08A,A08,A,279.848,5.2,0.00094,-5.5,1.0,,83.92,2.0,0.0,5.0,3.24,9.77,1.0,279.175377544,0.0,32.9,1.0,1.0,0.0
1085,Levocabastine,solid,R01AC,R01A,R01,R,420.528,2.5,0.00347,-5.1,1.0,3.71,118.48,4.0,1.0,4.0,64.33,10.32,1.0,420.221306345,0.0,45.58,4.0,0.0,1.0
1086,Methyprylon,solid,N05CE,N05C,N05,N,183.2475,1.88,11.3,-1.2,1.0,14.53,50.25,1.0,1.0,2.0,46.17,-3.1,1.0,183.125928793,0.0,19.95,2.0,0.0,1.0
1087,Trilostane,solid,H02CA,H02C,H02,H,329.4333,2.3,0.0592,-3.8,1.0,5.23,90.17,5.0,2.0,0.0,76.78,-0.88,1.0,329.199093735,0.0,36.81,4.0,-1.0,1.0
1089,Miconazole,solid,A07AC,A07A,A07,A,416.129,5.96,0.000763,-5.7,1.0,,103.07,3.0,0.0,6.0,27.05,6.48,0.0,413.986023908,1.0,39.54,2.0,0.0,0.0
1091,Cefuroxime,solid,S01AA,S01A,S01,S,424.385,-0.9,0.284,-3.2,1.0,2.96,97.17,3.0,3.0,8.0,173.76,-1.1,0.0,424.068884198,1.0,38.87,7.0,-1.0,1.0
1092,Papaverine,solid,G04BE,G04B,G04,G,339.385,3.08,0.0129,-4.4,1.0,,95.52,3.0,0.0,6.0,49.81,6.03,1.0,339.147058165,1.0,36.57,5.0,0.0,1.0
1093,Chlorpheniramine,liquid,R06AB,R06A,R06,R,274.788,3.58,0.0519,-3.7,1.0,,80.85,2.0,0.0,5.0,16.13,9.47,1.0,274.123676325,0.0,30.82,2.0,1.0,1.0
1094,Nifedipine,solid,C08CA,C08C,C08,C,346.3346,1.82,0.0177,-4.3,1.0,16.94,91.16,2.0,1.0,6.0,107.77,-6.6,1.0,346.116486318,0.0,33.89,5.0,0.0,1.0
1095,Trimethaphan,solid,C02BA,C02B,C02,C,365.512,2.32,0.00665,-4.8,1.0,,105.43,5.0,0.0,4.0,23.55,-2.0,1.0,365.168759122,0.0,40.13,1.0,1.0,1.0
1096,Atovaquone,solid,P01AX,P01A,P01,P,366.837,5.0,0.000796,-5.7,1.0,5.53,103.11,4.0,1.0,2.0,54.37,-5.3,1.0,366.102272181,0.0,39.64,3.0,-1.0,1.0
1097,Amiodarone,solid,C01BD,C01B,C01,C,645.3116,7.64,0.00476,-5.1,0.0,,145.05,3.0,0.0,11.0,42.68,8.47,0.0,645.023680639,1.0,56.78,3.0,1.0,0.0
1098,Diazoxide,solid,G01AE,G01A,G01,G,230.671,1.0,0.552,-2.6,1.0,14.48,54.84,2.0,1.0,0.0,58.53,-2.6,1.0,229.991675875,0.0,20.98,4.0,0.0,1.0
1099,Gliclazide,solid,A10BB,A10B,A10,A,323.41,1.73,0.19,-3.2,1.0,4.07,83.88,3.0,2.0,2.0,78.51,1.38,1.0,323.130362722,0.0,33.72,4.0,-1.0,1.0
1100,Phenacemide,solid,N03AX,N03A,N03,N,178.1879,0.46,1.06,-2.2,1.0,11.75,47.43,1.0,2.0,2.0,72.19,-7.8,1.0,178.074227574,0.0,17.49,2.0,0.0,1.0
1101,Ambenonium,solid,N07AA,N07A,N07,N,537.565,-3.6,9.42e-07,-8.8,0.0,11.48,173.57,2.0,2.0,15.0,58.2,-3.6,0.0,536.268482022,0.0,59.98,2.0,2.0,0.0
1103,Tolbutamide,solid,V04CA,V04C,V04,V,270.348,2.3,0.202,-3.1,1.0,4.33,70.27,1.0,2.0,4.0,75.27,,1.0,270.103813142,0.0,29.1,3.0,-1.0,1.0
